LDA_Component_1;LDA_Component_2;type;id_code
-9.873.542.715.442.570;-30.890.312.475.672.800;Moderate;808f32272dc8_preprocessed.png
0.5466969186730881;-2.971.546.192.840.710;Proliferative;80921264504c_preprocessed.png
-35.985.199.657.331.500;17.361.260.465.018.400;Mild;80976eb17462_preprocessed.png
16.179.865.901.796.800;-18.015.266.640.855.700;Normal;80aa9b30d2f9_preprocessed.png
26.892.762.616.867.400;-0.6315071353300352;Normal;80d85db5fe6f_preprocessed.png
0.5466969186730042;-2.971.546.192.841.030;Proliferative;80ffe924f95b_preprocessed.png
26.892.762.616.863.500;-0.6315071353300943;Normal;810b1ef05d20_preprocessed.png
-9.873.542.715.442.320;-3.089.031.247.567.390;Moderate;810b9603c241_preprocessed.png
-9.873.542.715.442.170;-30.890.312.475.670.800;Moderate;8142cc87ebb9_preprocessed.png
-3.598.519.965.732.940;1.736.126.046.501.760;Mild;81a9391f7828_preprocessed.png
2.689.276.261.686.150;-0.6315071353299886;Normal;81ed0c587703_preprocessed.png
-3.592.133.226.878.060;-18.602.691.914.486.900;Moderate;8208638fc7cf_preprocessed.png
2.689.276.261.686.830;-0.6315071353302066;Normal;8214256b4e51_preprocessed.png
5.154.288.518.982.800;-0.537315506016662;Severe;82515c8bfd5e_preprocessed.png
-3.598.519.965.732.750;1.736.126.046.501.850;Mild;82566de7f4d1_preprocessed.png
26.892.762.616.865.700;-0.6315071353302257;Normal;828ad210e3e2_preprocessed.png
-9.873.542.715.442.500;-30.890.312.475.674.000;Moderate;82a412dba6cd_preprocessed.png
26.892.762.616.864.700;-0.6315071353301693;Normal;82cdbde2bd94_preprocessed.png
26.892.762.616.861.900;-0.6315071353298619;Normal;82eecce4cb86_preprocessed.png
-987.354.271.544.262;-3.089.031.247.567.200;Moderate;8305107835c6_preprocessed.png
-9.873.542.715.442.040;-3.089.031.247.567.240;Moderate;831826087154_preprocessed.png
26.892.762.616.865.100;-0.6315071353301125;Normal;8327efe946c2_preprocessed.png
-3.598.519.965.733.270;17.361.260.465.018.700;Mild;836324a89d99_preprocessed.png
-9.873.542.715.441.870;-3.089.031.247.567.180;Moderate;836b43b8c125_preprocessed.png
2.689.276.261.686.600;-0.6315071353300157;Normal;83bd9d017f84_preprocessed.png
-3.592.133.226.878.320;-18.602.691.914.486.200;Moderate;83c31eeeca0e_preprocessed.png
26.892.762.616.861.900;-0.6315071353301228;Normal;83cfacba2dd7_preprocessed.png
26.892.762.616.867.600;-0.6315071353301446;Normal;848091b1f5d0_preprocessed.png
26.892.762.616.870.000;-0.6315071353301327;Normal;84acea0b8a00_preprocessed.png
2.689.276.261.686.780;-0.63150713533016;Normal;84eff2a86662_preprocessed.png
26.892.762.616.860.400;-0.6315071353300277;Normal;85035afa9b10_preprocessed.png
26.892.762.616.865.100;-0.6315071353300008;Normal;85105e9ab635_preprocessed.png
0.5466969186732578;-29.715.461.928.408.600;Proliferative;855d60689040_preprocessed.png
-987.354.271.544.243;-3.089.031.247.567.190;Moderate;85601f22d90d_preprocessed.png
0.5466969186732209;-2.971.546.192.841.150;Proliferative;8571e10b7294_preprocessed.png
-9.873.542.715.442.780;-30.890.312.475.671.400;Moderate;857e2dafc6d0_preprocessed.png
26.892.762.616.865.800;-0.6315071353299593;Normal;85ceca982305_preprocessed.png
2.689.276.261.686.390;-0.6315071353300206;Normal;85f608bcb50a_preprocessed.png
0.5466969186732102;-2.971.546.192.841.060;Proliferative;862cc91ef3f0_preprocessed.png
26.892.762.616.865.000;-0.631507135330192;Normal;8634cfaa63c5_preprocessed.png
0.5466969186728659;-29.715.461.928.408.400;Proliferative;86683eb8921e_preprocessed.png
-9.873.542.715.442.510;-3.089.031.247.567.410;Moderate;86c179395e2b_preprocessed.png
-9.873.542.715.442.550;-30.890.312.475.673.400;Moderate;86ca8c8d563d_preprocessed.png
0.5466969186727688;-2.971.546.192.840.900;Proliferative;86fd5df366b2_preprocessed.png
-9.873.542.715.442.460;-308.903.124.756.726;Moderate;87252c491c19_preprocessed.png
-35.985.199.657.332.700;17.361.260.465.018.300;Mild;872d2097a7ad_preprocessed.png
-987.354.271.544.256;-30.890.312.475.671.300;Moderate;87487c4c4ddc_preprocessed.png
0.5466969186734141;-2.971.546.192.841.090;Proliferative;8750b8bfe28a_preprocessed.png
26.892.762.616.867.100;-0.631507135329977;Normal;8798cccbcb0d_preprocessed.png
5.154.288.518.982.730;-0.5373155060165338;Severe;880eacc5ab23_preprocessed.png
-35.985.199.657.322.700;17.361.260.465.018.400;Mild;881ab102a44e_preprocessed.png
-9.873.542.715.442.420;-30.890.312.475.672.600;Moderate;881c69e5dcd8_preprocessed.png
-9.873.542.715.442.870;-30.890.312.475.671.100;Moderate;887b4413f87c_preprocessed.png
-9.873.542.715.442.450;-3.089.031.247.567.110;Moderate;88e0bd76f4c9_preprocessed.png
-9.873.542.715.442.710;-30.890.312.475.672.000;Moderate;88fda3e06e05_preprocessed.png
26.892.762.616.863.800;-0.6315071353298125;Normal;890dd0b1921b_preprocessed.png
5.154.288.518.982.460;-0.537315506016605;Severe;8914493483f5_preprocessed.png
26.892.762.616.865.700;-0.6315071353302373;Normal;8927a914c9c8_preprocessed.png
-9.873.542.715.442.470;-30.890.312.475.672.300;Moderate;8930d35c9076_preprocessed.png
-0.45462185202340777;8.364.876.664.844.360;Mild;8938eb4d9c63_preprocessed.png
2.689.276.261.686.190;-0.6315071353300861;Normal;8939b6701f96_preprocessed.png
-9.873.542.715.442.800;-308.903.124.756.734;Moderate;893b140bd358_preprocessed.png
2.689.276.261.686.480;-0.6315071353300312;Normal;8943b2b8c8ea_preprocessed.png
26.892.762.616.863.300;-0.6315071353302226;Normal;8944ffa47333_preprocessed.png
26.892.762.616.865.700;-0.6315071353303208;Normal;896c75533897_preprocessed.png
2.689.276.261.686.270;-0.6315071353300419;Normal;898232c36d81_preprocessed.png
-9.873.542.715.442.440;-30.890.312.475.674.300;Moderate;89a37093baa9_preprocessed.png
-9.873.542.715.442.460;-30.890.312.475.674.800;Moderate;89f1314e2c10_preprocessed.png
26.892.762.616.865.000;-0.6315071353299722;Normal;8a177340ac5a_preprocessed.png
268.927.626.168.662;-0.6315071353299865;Normal;8a1791bd2bb0_preprocessed.png
-35.921.332.268.782.200;-18.602.691.914.487.300;Normal;8a2b969112a7_preprocessed.png
-3.598.519.965.732.920;17.361.260.465.018.400;Mild;8aba1a000d36_preprocessed.png
-0.45462185202326727;8.364.876.664.844.010;Mild;8adf13f4fc16_preprocessed.png
2.689.276.261.686.490;-0.6315071353301946;Normal;8ae672ef2f60_preprocessed.png
5.154.288.518.982.910;-0.537315506016653;Severe;8afe0b63efa5_preprocessed.png
2.689.276.261.686.380;-0.6315071353299375;Normal;8affa9a1fecd_preprocessed.png
-987.354.271.544.218;-30.890.312.475.673.400;Moderate;8b27d742f971_preprocessed.png
26.892.762.616.865.100;-0.6315071353300914;Normal;8b83f4b2d1a9_preprocessed.png
-9.873.542.715.442.530;-30.890.312.475.672.100;Moderate;8b840ed255d8_preprocessed.png
26.892.762.616.863.600;-0.6315071353300077;Normal;8b96e506768c_preprocessed.png
-3.598.519.965.733.130;1.736.126.046.501.830;Mild;8bb4dfa61806_preprocessed.png
51.542.885.189.825.600;-0.5373155060166126;Severe;8bbef4ac9702_preprocessed.png
-35.985.199.657.329.600;17.361.260.465.018.200;Mild;8bdd17b5974b_preprocessed.png
26.892.762.616.865.400;-0.6315071353299075;Normal;8bdd3a1895c8_preprocessed.png
-9.873.542.715.442.360;-3.089.031.247.567.360;Moderate;8c0f725874af_preprocessed.png
2.689.276.261.686.630;-0.6315071353301569;Normal;8c41de06d44e_preprocessed.png
26.892.762.616.861.300;-0.6315071353301338;Normal;8c45490f701a_preprocessed.png
5.154.288.518.983.210;-0.5373155060166462;Severe;8c49d9de02d6_preprocessed.png
16.179.865.901.799.300;-18.015.266.640.856.000;Proliferative;8c4b2c26e478_preprocessed.png
-9.873.542.715.441.900;-3.089.031.247.567.250;Moderate;8c4bb8e93f24_preprocessed.png
-9.873.542.715.442.530;-3.089.031.247.567.180;Moderate;8c6ccbe00895_preprocessed.png
26.892.762.616.863.300;-0.6315071353300046;Normal;8c9cf6f116be_preprocessed.png
26.892.762.616.863.900;-0.631507135330168;Normal;8ca8da22d961_preprocessed.png
26.892.762.616.860.400;-0.631507135329942;Normal;8cbefbaed16e_preprocessed.png
2.689.276.261.686.860;-0.6315071353299355;Normal;8cf4258bd346_preprocessed.png
-3.598.519.965.733.180;17.361.260.465.018.600;Mild;8cfa1b047c34_preprocessed.png
26.892.762.616.864.900;-0.6315071353302639;Normal;8cfe2de3e7f4_preprocessed.png
5.154.288.518.982.780;-0.5373155060163975;Severe;8d01494c2821_preprocessed.png
-3.598.519.965.733.600;17.361.260.465.018.500;Mild;8d0bcd4ebff6_preprocessed.png
16.179.865.901.800.700;-1.801.526.664.085.470;Normal;8d72498b9e30_preprocessed.png
-9.873.542.715.442.510;-3.089.031.247.567.340;Moderate;8d892f6b5976_preprocessed.png
-9.873.542.715.442.660;-30.890.312.475.672.600;Moderate;8d955a3d9286_preprocessed.png
26.892.762.616.859.400;-0.6315071353299451;Normal;8daed4c00661_preprocessed.png
26.892.762.616.863.400;-0.6315071353300716;Normal;8dc530ad4a1e_preprocessed.png
26.892.762.616.863.400;-0.6315071353300103;Normal;8dd1c698ae62_preprocessed.png
0.5466969186734656;-29.715.461.928.409.900;Proliferative;8e4cf64ec035_preprocessed.png
